PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,class,class_name
-1.7525215,0.55204177,-4.22453,-6.5342183,-4.8609633,0.05125117,3.7823706,0.7385738,-2.8963926,-0.9783894,-0.5197203,2.2571073,3.091326,-1.0717247,-4.947104,-1.0438035,1.3325827,-1.4942689,-0.3466059,1.8107457,1.2426382,0.42981187,1.8994997,0.67839617,1.2559822,-0.19731584,-0.71267104,-2.8900256,-2.641387,1.3117989,-0.9238477,1.2459314,-0.15751456,0.47958937,-0.7365705,1.3090597,2.0109487,0.5239231,-0.09874859,-1.2740797,-0.59498394,1.7555783,-0.5405016,0.08031339,0.7559983,0.70943016,1.5128965,-0.5577288,0.18669873,1.7204494,5,Dog
-0.38332742,-2.0194848,0.31220135,-1.6398094,-9.48027,-1.0528148,4.8249826,5.9411044,-4.5411725,-1.5858991,-1.373274,1.7415105,8.607609,0.7620352,0.02396305,-1.0148381,0.9958768,-0.49730855,0.29863554,1.6333266,2.6910038,-1.2176398,0.52751726,1.668838,-1.0877542,1.9309018,-2.243632,0.68275046,1.5030335,1.1685889,0.39551058,-0.77483034,0.20349044,0.59606075,1.2287997,0.32441735,-0.29831055,-1.3217629,0.95662624,1.2004796,0.6202481,-0.6716732,0.4307424,0.8943645,-0.31725085,-0.3179135,0.7643064,-0.7274713,1.1531463,1.6037605,2,Bird
-7.435118,2.5898285,3.2443223,-2.9759674,-2.3722441,-1.0928708,0.13371149,3.0468912,0.602954,-0.9094048,-2.1000266,1.1506894,-2.375088,-1.0606686,2.0813541,-0.7437111,1.2665014,-1.140751,0.9845656,0.5754024,2.33832,1.4200668,-0.46097794,1.5362147,-0.9677163,1.3010637,1.1794364,-0.085370526,-0.94451094,0.91632843,0.21851614,0.8480709,-0.5069453,-1.2438273,1.259579,-1.7139368,-0.5307692,-0.37289664,0.20256078,-0.17927414,0.054459054,1.0455097,-1.8929449,0.38938373,-0.7013829,-1.4288965,0.4756948,0.5753661,0.24113595,-1.7343994,4,Deer
2.6852064,-4.4719605,1.0699481,-2.6645432,-0.96394706,5.179642,0.02540867,-2.8830566,0.36349112,-2.1042523,2.094719,-0.45136714,1.8067632,0.03624683,2.7131493,-1.4658682,-2.8512554,-1.0837148,1.9940356,-3.4489205,0.249439,0.7779291,3.7524686,-1.158802,-0.34480482,-0.7072658,2.1564596,0.09471998,0.044114344,1.0894859,-0.28785247,-0.457449,0.18385683,0.46059474,-0.83132386,0.42872322,-1.2990962,-2.3151553,1.9464109,-0.1519711,-0.5164785,-0.97318476,0.15224592,1.0998383,-0.620585,-1.3877598,1.4904367,-0.31688476,0.9022209,0.88278854,0,Airplane
5.1167245,5.2017145,9.063725,-7.00938,0.96340877,-1.0306387,2.5837054,2.649288,-1.6342331,0.4883009,0.09934447,4.24356,0.026145276,-2.8113246,0.61592776,0.69216514,2.1438804,0.8402661,-1.3904325,-1.1376909,1.3682358,3.9704087,-1.7293118,1.6499808,1.2078743,0.35279113,-0.5284433,-0.9179011,-2.2899714,2.4213088,-0.13861154,0.58509934,-2.1883497,-0.059491858,3.9964142,-0.44374874,-1.461742,-0.4867284,1.9388512,0.28549814,1.7346818,1.0667061,-0.010076342,-2.1628835,-2.415677,1.1839615,-0.4025495,0.91898173,-0.22749877,0.11186366,9,Truck
-11.830106,-0.45242375,-1.040572,0.5390057,-2.690058,-1.0106658,-1.0333346,-1.8360504,0.09523637,-2.0588863,1.8167949,1.6139195,1.0494452,-1.0787168,1.0334848,1.0879575,-1.158702,-0.032244634,0.58813673,-2.9255147,0.011319465,0.23314568,-0.37464738,-0.56572104,1.3896264,-1.047846,-0.12942703,0.51453686,-2.2978175,-1.0340703,-0.23430552,0.9589656,-1.0332118,0.43015176,-1.0319765,-1.0041639,-1.2256179,-0.366928,0.78709376,0.4341496,-0.6661852,-0.64250755,-0.37835294,0.48504227,0.32881215,-0.56483305,0.026421186,0.40963224,-1.2053688,-1.2432444,6,Frog
-12.640788,-2.8076217,0.044911776,-0.3058857,-0.61771417,0.109699115,-2.2453067,-0.98482645,0.5772021,-1.0626937,-0.71706706,0.22320758,-0.03919768,1.4505581,0.01428459,1.5783868,0.5167748,-0.3805874,-0.4764375,-1.8238573,0.44922307,-1.5057116,-0.29672626,0.36543664,0.48910883,-0.018303104,-1.9596332,-0.15192635,0.4821387,-0.8860955,1.0183902,0.3404679,-0.14551277,1.269268,0.42132977,1.3028673,-0.14404157,0.7512312,-0.4777796,-0.49578792,-0.8534567,-0.459214,-1.067636,-0.42395717,-0.7496249,-0.11879383,0.31106332,0.79603314,-0.28783697,-0.6713856,6,Frog
-8.400226,1.924006,2.3647897,0.88125014,1.1150932,-2.659323,3.1177669,-0.40467864,0.33784127,-2.4419882,-0.73592216,-1.2513261,-1.3881601,-0.70561403,0.3752404,-1.4199197,-0.98686284,-1.1931055,-0.74114984,-3.6698475,-0.084466286,3.2436152,1.1032984,0.6494568,0.062926054,0.6843286,3.1125028,-1.4490163,0.7189355,0.47581232,-0.86737144,-0.45209318,2.6612098,-0.5558746,0.5039552,2.0134773,1.0148215,0.018503498,-3.3670363,-1.0662992,-2.0717108,0.74655026,-0.3975722,1.2708485,-2.0216727,-0.5146694,-0.9093459,-0.23020914,-0.4483892,-0.21528561,5,Dog
-15.488376,-5.0515304,-1.561175,-0.4270473,2.3238025,-1.1611924,1.9382176,-0.61956316,0.44355017,1.9710578,-1.940963,-0.47737038,-1.9138722,0.6074033,0.41394866,0.45281807,-0.49512747,-0.8961669,0.73298,-2.3324096,-0.73664355,-0.44632193,1.4552758,1.1945469,0.1329183,0.7332216,-0.76545364,0.26176485,-0.06073577,-0.42564818,-0.67881626,0.8797972,-0.040329453,0.48104244,0.89273655,0.09423788,1.2495127,-0.5911555,0.47803813,0.8811025,-0.12831599,0.34943172,1.0291482,0.17389919,0.52935797,0.43141347,1.0767915,-1.8113194,-0.13724081,1.9984456,4,Deer
6.4101796,6.0990834,-0.124220684,-3.2883973,-7.9957037,-3.0379374,4.2840223,11.774772,-0.33385235,-6.316467,-0.9985595,4.998217,0.64263076,3.2058039,5.367811,3.5934181,4.2446594,-3.9976423,-0.77177584,2.1539156,-4.953765,-3.0294826,-1.31417,1.6162628,1.8808454,2.8464491,4.7607675,0.87894046,1.4264576,-0.99385315,-1.6682721,0.6083927,0.39860082,-2.1450298,-1.5735646,-0.35761988,-2.6536055,-0.53709775,-2.6462286,-0.41574878,1.526732,0.42693686,-2.8949664,4.1995926,0.0036318162,-1.607085,2.2438579,-2.4521208,0.46190572,-1.0532997,5,Dog
